batch_size,loss,params
172,0.038846911811928765,"[1, 1, 208, 0.4809681440392828, 5.80236252892622e-05]"
367,0.0395388939162156,"[0, 2, 396, 0.28658142180596646, 4.809869684452271e-07]"
64,0.0395572802416282,"[0, 1, 251, 0.4981152291657059, 2.5974508071148148e-09]"
216,0.03966125915188054,"[1, 1, 212, 0.12304134432433138, 0.000196820058593616]"
512,0.0396903080203175,"[0, 1, 73, 0.01, 1e-15]"
64,0.03987039760759007,"[1, 1, 16, 0.27169857518761936, 1e-15]"
68,0.04020224788492489,"[1, 1, 26, 0.2606549086786478, 1e-15]"
172,0.040379787287785796,"[1, 1, 209, 0.5018018640944878, 9.262457419841877e-05]"
175,0.04039590313335975,"[1, 1, 340, 0.18926459715204927, 8.308001552643632e-07]"
438,0.04040732381486954,"[1, 2, 66, 0.3008015358727458, 2.1815690830500387e-09]"
478,0.040475646775307024,"[1, 5, 221, 0.34210039821243826, 5.207482028169257e-07]"
512,0.040601055655447575,"[1, 1, 16, 0.01, 1e-15]"
512,0.04061108938325291,"[0, 3, 233, 0.11919801496994646, 7.391127135754282e-08]"
345,0.04064356165685061,"[1, 1, 315, 0.43237511952795843, 5.826490154958944e-05]"
309,0.040660404646751455,"[0, 1, 316, 0.13904483282129934, 1.8299363572951463e-08]"
381,0.04067225300441885,"[0, 1, 512, 0.2669502609377561, 2.0405796468959467e-09]"
104,0.040691901976115274,"[0, 4, 16, 0.01170146654216178, 4.1984519667388427e-08]"
64,0.04069521641020691,"[1, 1, 143, 0.49975527136433434, 2.9852996845500964e-08]"
512,0.04077053442345357,"[1, 1, 512, 0.2770968722753364, 1e-15]"
85,0.040931811344122396,"[0, 1, 111, 0.19722972126612856, 4.1854209963593516e-11]"
459,0.04105428256422013,"[1, 1, 327, 0.33324485094981504, 2.4772049580058762e-11]"
160,0.04107996118907936,"[1, 3, 147, 0.14643942420116932, 4.7633107715273465e-11]"
512,0.04123480854053901,"[0, 1, 74, 0.013214105494733666, 1e-15]"
225,0.04129242451544879,"[1, 4, 161, 0.3507900779036546, 8.994093202562704e-08]"
135,0.041374121123765956,"[0, 7, 55, 0.04960317551582704, 3.4003321636330617e-07]"
160,0.041427455451695995,"[1, 4, 353, 0.14537097952454697, 3.3045624365049894e-06]"
442,0.0414950994964019,"[1, 2, 278, 0.45167707315636096, 1.2371211452913098e-07]"
64,0.04159748927111151,"[0, 1, 380, 0.22470547750120679, 0.004306207883798117]"
64,0.04159903659536674,"[0, 1, 245, 0.01, 1.9166599224334582e-11]"
424,0.04206367790453928,"[0, 8, 298, 0.3778140891660384, 8.650152937350223e-06]"
175,0.04208153586077879,"[1, 1, 213, 0.46673639736073413, 0.00011070138860039864]"
512,0.042252648600174525,"[0, 5, 385, 0.01, 7.672078182010314e-08]"
477,0.04227879720195224,"[0, 1, 33, 0.1337050463812336, 0.0027017911580952785]"
202,0.04259268418984926,"[0, 7, 305, 0.3136231420086749, 2.0500254920937568e-10]"
313,0.04273455515083071,"[1, 8, 46, 0.1126777423715754, 1.617902476878644e-08]"
107,0.04281694330625698,"[0, 4, 16, 0.033973277696559695, 5.76883105244528e-08]"
259,0.04309215488789294,"[1, 1, 68, 0.6245138268655835, 7.33744841702018e-07]"
217,0.0434144527176911,"[1, 6, 330, 0.3345683063417463, 6.678499379354875e-07]"
397,0.043416949089188535,"[1, 9, 90, 0.06183276480566787, 4.767532070140888e-11]"
336,0.043722420998229726,"[1, 4, 334, 0.2218294667233805, 2.2679975832090985e-09]"
512,0.04384805880130441,"[1, 1, 512, 0.01, 0.01]"
164,0.043856851503991885,"[1, 4, 327, 0.18693156861012095, 0.00016720445440685785]"
164,0.043920400807431564,"[1, 5, 292, 0.3937349834979636, 0.01]"
283,0.04420852338539092,"[0, 5, 372, 0.541233353152619, 7.023791450805569e-06]"
