batch_size,loss,params
356,0.039140923517558046,"[1, 124, 0.06387530071338363, 0.0004029245100600861]"
394,0.03956841055304502,"[3, 97, 0.37602626305901893, 2.6096962940969593e-07]"
67,0.03971769289355174,"[3, 17, 0.5809233647271798, 1.372042071963468e-15]"
265,0.03983342533276804,"[2, 64, 0.25863710146767505, 3.1639224677490176e-10]"
399,0.04003104532281043,"[3, 66, 0.11346417838096794, 5.877504773348688e-07]"
92,0.040113054973072805,"[2, 83, 0.3256236642842356, 5.261712295976383e-14]"
270,0.04026218793668831,"[2, 47, 0.22205122243416817, 5.176482666825002e-10]"
439,0.040499196730932996,"[2, 25, 0.060407336960057526, 6.384866718758609e-13]"
278,0.0405277481280876,"[2, 38, 0.6823619623237254, 5.5598927855214826e-05]"
213,0.040537878877431884,"[1, 89, 0.3821855693036225, 2.1537952788608588e-14]"
489,0.04058581995397615,"[3, 23, 0.02592942619124456, 3.460601053529995e-15]"
427,0.040799994543232555,"[2, 25, 0.3959597401186913, 4.065774747382207e-06]"
314,0.04119592417300146,"[3, 111, 0.29500625752252935, 2.471474447965876e-05]"
382,0.04120307079529132,"[1, 111, 0.10311367978864333, 1.5164069656973754e-08]"
74,0.04121265430331937,"[2, 42, 0.5507736676593562, 6.099769895612717e-07]"
178,0.041239107662313965,"[2, 64, 0.018066334681120066, 0.0032449900805972477]"
119,0.041240941900343255,"[3, 19, 0.6706498511405575, 0.0007888737126665915]"
67,0.04128706483195544,"[2, 76, 0.25139565440532324, 7.620066501345887e-06]"
461,0.0413986743537717,"[2, 117, 0.16635221821804638, 1.6323898106622304e-12]"
250,0.04149738710426685,"[2, 104, 0.2530047562907588, 0.008538311165416654]"
390,0.04160499725794901,"[2, 26, 0.09774255265465749, 1.0793076548952529e-15]"
266,0.041682353256059845,"[2, 111, 0.506777874346629, 9.769500940121622e-08]"
70,0.04176613882050295,"[3, 116, 0.06712520569182581, 0.001158279455651539]"
336,0.04201211241853094,"[2, 51, 0.33141775134174867, 2.1122522560286614e-09]"
223,0.04220030608153046,"[2, 59, 0.025337891655034916, 7.89772347064305e-05]"
313,0.04224187492705068,"[1, 112, 0.4476314159103629, 1.7142560065305216e-14]"
502,0.04239304477282543,"[1, 21, 0.6996618410011333, 0.006095261151510207]"
186,0.04252147792658154,"[2, 122, 0.17958700706918415, 2.3085518412218517e-15]"
497,0.04267233083131764,"[3, 123, 0.6774002666181321, 0.003138907250027911]"
105,0.043519748782801675,"[1, 22, 0.6986715243758532, 1.0141581371585127e-14]"
